DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
240104653,01/10/2024 12:00:00 AM,01/08/2024 12:00:00 AM,1030,01,Central,0152,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443,39,F,B,602,BANK,511,VERBAL THREAT,IC,Invest Cont,930,,,,500 S  HOPE                         ST,,34.0501,-118.2558
240120065,10/16/2024 12:00:00 AM,10/13/2024 12:00:00 AM,1210,01,Central,0138,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1609,24,M,H,242,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",,,IC,Invest Cont,740,,,,300 E  2ND                          ST,,34.0493,-118.2417
240110502,04/19/2024 12:00:00 AM,04/17/2024 12:00:00 AM,0115,01,Central,0182,1,330,BURGLARY FROM VEHICLE,1300 0344 1307,26,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,1200 S  FIGUEROA                     ST,,34.0419,-118.2669
240109929,04/04/2024 12:00:00 AM,04/04/2024 12:00:00 AM,1935,01,Central,0182,2,624,BATTERY - SIMPLE ASSAULT,0446 0416 0329,27,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,FLOWER,PICO,34.0401,-118.2669
240117466,08/23/2024 12:00:00 AM,08/21/2024 12:00:00 AM,2300,01,Central,0159,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,0,X,X,135,MTA PROPERTY OR PARKING LOT,,,IC,Invest Cont,341,,,,1800    INDUSTRIAL                   ST,,34.0358,-118.2345
240107470,02/19/2024 12:00:00 AM,02/15/2024 12:00:00 AM,1630,01,Central,0121,1,520,VEHICLE - ATTEMPT STOLEN,1300 0329 1612 0358 1302,35,M,W,108,PARKING LOT,,,IC,Invest Cont,520,,,,900 W  TEMPLE                       ST,,34.0607,-118.2494
240105425,01/21/2024 12:00:00 AM,01/20/2024 12:00:00 AM,1500,01,Central,0181,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,29,M,A,713,CONVENTION CENTER,,,IC,Invest Cont,341,,,,1200 S  FIGUEROA                     ST,,34.0431,-118.2692
240120706,11/02/2024 12:00:00 AM,11/02/2024 12:00:00 AM,1400,01,Central,0111,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800 N  BUNKER HILL                  AV,,34.0637,-118.244
240117655,08/28/2024 12:00:00 AM,08/28/2024 12:00:00 AM,0635,01,Central,0132,2,888,TRESPASSING,0910 1501,0,X,X,135,MTA PROPERTY OR PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,888,,,,200 S  HOPE                         ST,,34.0549,-118.2511
240108046,02/27/2024 12:00:00 AM,02/27/2024 12:00:00 AM,2100,01,Central,0142,1,761,BRANDISH WEAPON,0334 1822 0443,61,M,H,101,STREET,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,761,,,,400 S  HOPE                         ST,,34.0522,-118.2538
